id,name,height,weight,lang,types
26,raichu,8,300,"[['ライチュウ', 'ja-Hrkt'], ['Raichu', 'roomaji'], ['라이츄', 'ko'], ['雷丘', 'zh-Hant'], ['Raichu', 'fr'], ['Raichu', 'de'], ['Raichu', 'es'], ['Raichu', 'it'], ['Raichu', 'en'], ['ライチュウ', 'ja'], ['雷丘', 'zh-Hans']]","[[1, 'electric']]"
27,sandshrew,6,120,"[['サンド', 'ja-Hrkt'], ['Sand', 'roomaji'], ['모래두지', 'ko'], ['穿山鼠', 'zh-Hant'], ['Sabelette', 'fr'], ['Sandan', 'de'], ['Sandshrew', 'es'], ['Sandshrew', 'it'], ['Sandshrew', 'en'], ['サンド', 'ja'], ['穿山鼠', 'zh-Hans']]","[[1, 'ground']]"
28,sandslash,10,295,"[['サンドパン', 'ja-Hrkt'], ['Sandpan', 'roomaji'], ['고지', 'ko'], ['穿山王', 'zh-Hant'], ['Sablaireau', 'fr'], ['Sandamer', 'de'], ['Sandslash', 'es'], ['Sandslash', 'it'], ['Sandslash', 'en'], ['サンドパン', 'ja'], ['穿山王', 'zh-Hans']]","[[1, 'ground']]"
29,nidoran-f,4,70,"[['ニドラン♀', 'ja-Hrkt'], ['Nidoran♀', 'roomaji'], ['니드런♀', 'ko'], ['尼多蘭', 'zh-Hant'], ['Nidoran♀', 'fr'], ['Nidoran♀', 'de'], ['Nidoran♀', 'es'], ['Nidoran♀', 'it'], ['Nidoran♀', 'en'], ['ニドラン♀', 'ja'], ['尼多兰', 'zh-Hans']]","[[1, 'poison']]"
30,nidorina,8,200,"[['ニドリーナ', 'ja-Hrkt'], ['Nidorina', 'roomaji'], ['니드리나', 'ko'], ['尼多娜', 'zh-Hant'], ['Nidorina', 'fr'], ['Nidorina', 'de'], ['Nidorina', 'es'], ['Nidorina', 'it'], ['Nidorina', 'en'], ['ニドリーナ', 'ja'], ['尼多娜', 'zh-Hans']]","[[1, 'poison']]"
31,nidoqueen,13,600,"[['ニドクイン', 'ja-Hrkt'], ['Nidoqueen', 'roomaji'], ['니드퀸', 'ko'], ['尼多后', 'zh-Hant'], ['Nidoqueen', 'fr'], ['Nidoqueen', 'de'], ['Nidoqueen', 'es'], ['Nidoqueen', 'it'], ['Nidoqueen', 'en'], ['ニドクイン', 'ja'], ['尼多后', 'zh-Hans']]","[[1, 'poison'], [2, 'ground']]"
32,nidoran-m,5,90,"[['ニドラン♂', 'ja-Hrkt'], ['Nidoran♂', 'roomaji'], ['니드런♂', 'ko'], ['尼多朗', 'zh-Hant'], ['Nidoran♂', 'fr'], ['Nidoran♂', 'de'], ['Nidoran♂', 'es'], ['Nidoran♂', 'it'], ['Nidoran♂', 'en'], ['ニドラン♂', 'ja'], ['尼多朗', 'zh-Hans']]","[[1, 'poison']]"
33,nidorino,9,195,"[['ニドリーノ', 'ja-Hrkt'], ['Nidorino', 'roomaji'], ['니드리노', 'ko'], ['尼多力諾', 'zh-Hant'], ['Nidorino', 'fr'], ['Nidorino', 'de'], ['Nidorino', 'es'], ['Nidorino', 'it'], ['Nidorino', 'en'], ['ニドリーノ', 'ja'], ['尼多力诺', 'zh-Hans']]","[[1, 'poison']]"
34,nidoking,14,620,"[['ニドキング', 'ja-Hrkt'], ['Nidoking', 'roomaji'], ['니드킹', 'ko'], ['尼多王', 'zh-Hant'], ['Nidoking', 'fr'], ['Nidoking', 'de'], ['Nidoking', 'es'], ['Nidoking', 'it'], ['Nidoking', 'en'], ['ニドキング', 'ja'], ['尼多王', 'zh-Hans']]","[[1, 'poison'], [2, 'ground']]"
35,clefairy,6,75,"[['ピッピ', 'ja-Hrkt'], ['Pippi', 'roomaji'], ['삐삐', 'ko'], ['皮皮', 'zh-Hant'], ['Mélofée', 'fr'], ['Piepi', 'de'], ['Clefairy', 'es'], ['Clefairy', 'it'], ['Clefairy', 'en'], ['ピッピ', 'ja'], ['皮皮', 'zh-Hans']]","[[1, 'fairy']]"
36,clefable,13,400,"[['ピクシー', 'ja-Hrkt'], ['Pixy', 'roomaji'], ['픽시', 'ko'], ['皮可西', 'zh-Hant'], ['Mélodelfe', 'fr'], ['Pixi', 'de'], ['Clefable', 'es'], ['Clefable', 'it'], ['Clefable', 'en'], ['ピクシー', 'ja'], ['皮可西', 'zh-Hans']]","[[1, 'fairy']]"
37,vulpix,6,99,"[['ロコン', 'ja-Hrkt'], ['Rokon', 'roomaji'], ['식스테일', 'ko'], ['六尾', 'zh-Hant'], ['Goupix', 'fr'], ['Vulpix', 'de'], ['Vulpix', 'es'], ['Vulpix', 'it'], ['Vulpix', 'en'], ['ロコン', 'ja'], ['六尾', 'zh-Hans']]","[[1, 'fire']]"
38,ninetales,11,199,"[['キュウコン', 'ja-Hrkt'], ['Kyukon', 'roomaji'], ['나인테일', 'ko'], ['九尾', 'zh-Hant'], ['Feunard', 'fr'], ['Vulnona', 'de'], ['Ninetales', 'es'], ['Ninetales', 'it'], ['Ninetales', 'en'], ['キュウコン', 'ja'], ['九尾', 'zh-Hans']]","[[1, 'fire']]"
39,jigglypuff,5,55,"[['プリン', 'ja-Hrkt'], ['Purin', 'roomaji'], ['푸린', 'ko'], ['胖丁', 'zh-Hant'], ['Rondoudou', 'fr'], ['Pummeluff', 'de'], ['Jigglypuff', 'es'], ['Jigglypuff', 'it'], ['Jigglypuff', 'en'], ['プリン', 'ja'], ['胖丁', 'zh-Hans']]","[[1, 'normal'], [2, 'fairy']]"
40,wigglytuff,10,120,"[['プクリン', 'ja-Hrkt'], ['Pukurin', 'roomaji'], ['푸크린', 'ko'], ['胖可丁', 'zh-Hant'], ['Grodoudou', 'fr'], ['Knuddeluff', 'de'], ['Wigglytuff', 'es'], ['Wigglytuff', 'it'], ['Wigglytuff', 'en'], ['プクリン', 'ja'], ['胖可丁', 'zh-Hans']]","[[1, 'normal'], [2, 'fairy']]"
41,zubat,8,75,"[['ズバット', 'ja-Hrkt'], ['Zubat', 'roomaji'], ['주뱃', 'ko'], ['超音蝠', 'zh-Hant'], ['Nosferapti', 'fr'], ['Zubat', 'de'], ['Zubat', 'es'], ['Zubat', 'it'], ['Zubat', 'en'], ['ズバット', 'ja'], ['超音蝠', 'zh-Hans']]","[[1, 'poison'], [2, 'flying']]"
42,golbat,16,550,"[['ゴルバット', 'ja-Hrkt'], ['Golbat', 'roomaji'], ['골뱃', 'ko'], ['大嘴蝠', 'zh-Hant'], ['Nosferalto', 'fr'], ['Golbat', 'de'], ['Golbat', 'es'], ['Golbat', 'it'], ['Golbat', 'en'], ['ゴルバット', 'ja'], ['大嘴蝠', 'zh-Hans']]","[[1, 'poison'], [2, 'flying']]"
43,oddish,5,54,"[['ナゾノクサ', 'ja-Hrkt'], ['Nazonokusa', 'roomaji'], ['뚜벅쵸', 'ko'], ['走路草', 'zh-Hant'], ['Mystherbe', 'fr'], ['Myrapla', 'de'], ['Oddish', 'es'], ['Oddish', 'it'], ['Oddish', 'en'], ['ナゾノクサ', 'ja'], ['走路草', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
44,gloom,8,86,"[['クサイハナ', 'ja-Hrkt'], ['Kusaihana', 'roomaji'], ['냄새꼬', 'ko'], ['臭臭花', 'zh-Hant'], ['Ortide', 'fr'], ['Duflor', 'de'], ['Gloom', 'es'], ['Gloom', 'it'], ['Gloom', 'en'], ['クサイハナ', 'ja'], ['臭臭花', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
45,vileplume,12,186,"[['ラフレシア', 'ja-Hrkt'], ['Ruffresia', 'roomaji'], ['라플레시아', 'ko'], ['霸王花', 'zh-Hant'], ['Rafflesia', 'fr'], ['Giflor', 'de'], ['Vileplume', 'es'], ['Vileplume', 'it'], ['Vileplume', 'en'], ['ラフレシア', 'ja'], ['霸王花', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
46,paras,3,54,"[['パラス', 'ja-Hrkt'], ['Paras', 'roomaji'], ['파라스', 'ko'], ['派拉斯', 'zh-Hant'], ['Paras', 'fr'], ['Paras', 'de'], ['Paras', 'es'], ['Paras', 'it'], ['Paras', 'en'], ['パラス', 'ja'], ['派拉斯', 'zh-Hans']]","[[1, 'bug'], [2, 'grass']]"
47,parasect,10,295,"[['パラセクト', 'ja-Hrkt'], ['Parasect', 'roomaji'], ['파라섹트', 'ko'], ['派拉斯特', 'zh-Hant'], ['Parasect', 'fr'], ['Parasek', 'de'], ['Parasect', 'es'], ['Parasect', 'it'], ['Parasect', 'en'], ['パラセクト', 'ja'], ['派拉斯特', 'zh-Hans']]","[[1, 'bug'], [2, 'grass']]"
48,venonat,10,300,"[['コンパン', 'ja-Hrkt'], ['Kongpang', 'roomaji'], ['콘팡', 'ko'], ['毛球', 'zh-Hant'], ['Mimitoss', 'fr'], ['Bluzuk', 'de'], ['Venonat', 'es'], ['Venonat', 'it'], ['Venonat', 'en'], ['コンパン', 'ja'], ['毛球', 'zh-Hans']]","[[1, 'bug'], [2, 'poison']]"
49,venomoth,15,125,"[['モルフォン', 'ja-Hrkt'], ['Morphon', 'roomaji'], ['도나리', 'ko'], ['摩魯蛾', 'zh-Hant'], ['Aéromite', 'fr'], ['Omot', 'de'], ['Venomoth', 'es'], ['Venomoth', 'it'], ['Venomoth', 'en'], ['モルフォン', 'ja'], ['摩鲁蛾', 'zh-Hans']]","[[1, 'bug'], [2, 'poison']]"
50,diglett,2,8,"[['ディグダ', 'ja-Hrkt'], ['Digda', 'roomaji'], ['디그다', 'ko'], ['地鼠', 'zh-Hant'], ['Taupiqueur', 'fr'], ['Digda', 'de'], ['Diglett', 'es'], ['Diglett', 'it'], ['Diglett', 'en'], ['ディグダ', 'ja'], ['地鼠', 'zh-Hans']]","[[1, 'ground']]"
51,dugtrio,7,333,"[['ダグトリオ', 'ja-Hrkt'], ['Dugtrio', 'roomaji'], ['닥트리오', 'ko'], ['三地鼠', 'zh-Hant'], ['Triopikeur', 'fr'], ['Digdri', 'de'], ['Dugtrio', 'es'], ['Dugtrio', 'it'], ['Dugtrio', 'en'], ['ダグトリオ', 'ja'], ['三地鼠', 'zh-Hans']]","[[1, 'ground']]"
52,meowth,4,42,"[['ニャース', 'ja-Hrkt'], ['Nyarth', 'roomaji'], ['나옹', 'ko'], ['喵喵', 'zh-Hant'], ['Miaouss', 'fr'], ['Mauzi', 'de'], ['Meowth', 'es'], ['Meowth', 'it'], ['Meowth', 'en'], ['ニャース', 'ja'], ['喵喵', 'zh-Hans']]","[[1, 'normal']]"
53,persian,10,320,"[['ペルシアン', 'ja-Hrkt'], ['Persian', 'roomaji'], ['페르시온', 'ko'], ['貓老大', 'zh-Hant'], ['Persian', 'fr'], ['Snobilikat', 'de'], ['Persian', 'es'], ['Persian', 'it'], ['Persian', 'en'], ['ペルシアン', 'ja'], ['猫老大', 'zh-Hans']]","[[1, 'normal']]"
54,psyduck,8,196,"[['コダック', 'ja-Hrkt'], ['Koduck', 'roomaji'], ['고라파덕', 'ko'], ['可達鴨', 'zh-Hant'], ['Psykokwak', 'fr'], ['Enton', 'de'], ['Psyduck', 'es'], ['Psyduck', 'it'], ['Psyduck', 'en'], ['コダック', 'ja'], ['可达鸭', 'zh-Hans']]","[[1, 'water']]"
55,golduck,17,766,"[['ゴルダック', 'ja-Hrkt'], ['Golduck', 'roomaji'], ['골덕', 'ko'], ['哥達鴨', 'zh-Hant'], ['Akwakwak', 'fr'], ['Entoron', 'de'], ['Golduck', 'es'], ['Golduck', 'it'], ['Golduck', 'en'], ['ゴルダック', 'ja'], ['哥达鸭', 'zh-Hans']]","[[1, 'water']]"
56,mankey,5,280,"[['マンキー', 'ja-Hrkt'], ['Mankey', 'roomaji'], ['망키', 'ko'], ['猴怪', 'zh-Hant'], ['Férosinge', 'fr'], ['Menki', 'de'], ['Mankey', 'es'], ['Mankey', 'it'], ['Mankey', 'en'], ['マンキー', 'ja'], ['猴怪', 'zh-Hans']]","[[1, 'fighting']]"
57,primeape,10,320,"[['オコリザル', 'ja-Hrkt'], ['Okorizaru', 'roomaji'], ['성원숭', 'ko'], ['火爆猴', 'zh-Hant'], ['Colossinge', 'fr'], ['Rasaff', 'de'], ['Primeape', 'es'], ['Primeape', 'it'], ['Primeape', 'en'], ['オコリザル', 'ja'], ['火暴猴', 'zh-Hans']]","[[1, 'fighting']]"
58,growlithe,7,190,"[['ガーディ', 'ja-Hrkt'], ['Gardie', 'roomaji'], ['가디', 'ko'], ['卡蒂狗', 'zh-Hant'], ['Caninos', 'fr'], ['Fukano', 'de'], ['Growlithe', 'es'], ['Growlithe', 'it'], ['Growlithe', 'en'], ['ガーディ', 'ja'], ['卡蒂狗', 'zh-Hans']]","[[1, 'fire']]"
59,arcanine,19,1550,"[['ウインディ', 'ja-Hrkt'], ['Windie', 'roomaji'], ['윈디', 'ko'], ['風速狗', 'zh-Hant'], ['Arcanin', 'fr'], ['Arkani', 'de'], ['Arcanine', 'es'], ['Arcanine', 'it'], ['Arcanine', 'en'], ['ウインディ', 'ja'], ['风速狗', 'zh-Hans']]","[[1, 'fire']]"
60,poliwag,6,124,"[['ニョロモ', 'ja-Hrkt'], ['Nyoromo', 'roomaji'], ['발챙이', 'ko'], ['蚊香蝌蚪', 'zh-Hant'], ['Ptitard', 'fr'], ['Quapsel', 'de'], ['Poliwag', 'es'], ['Poliwag', 'it'], ['Poliwag', 'en'], ['ニョロモ', 'ja'], ['蚊香蝌蚪', 'zh-Hans']]","[[1, 'water']]"
61,poliwhirl,10,200,"[['ニョロゾ', 'ja-Hrkt'], ['Nyorozo', 'roomaji'], ['슈륙챙이', 'ko'], ['蚊香君', 'zh-Hant'], ['Têtarte', 'fr'], ['Quaputzi', 'de'], ['Poliwhirl', 'es'], ['Poliwhirl', 'it'], ['Poliwhirl', 'en'], ['ニョロゾ', 'ja'], ['蚊香君', 'zh-Hans']]","[[1, 'water']]"
62,poliwrath,13,540,"[['ニョロボン', 'ja-Hrkt'], ['Nyorobon', 'roomaji'], ['강챙이', 'ko'], ['蚊香泳士', 'zh-Hant'], ['Tartard', 'fr'], ['Quappo', 'de'], ['Poliwrath', 'es'], ['Poliwrath', 'it'], ['Poliwrath', 'en'], ['ニョロボン', 'ja'], ['蚊香泳士', 'zh-Hans']]","[[1, 'water'], [2, 'fighting']]"
63,abra,9,195,"[['ケーシィ', 'ja-Hrkt'], ['Casey', 'roomaji'], ['캐이시', 'ko'], ['凱西', 'zh-Hant'], ['Abra', 'fr'], ['Abra', 'de'], ['Abra', 'es'], ['Abra', 'it'], ['Abra', 'en'], ['ケーシィ', 'ja'], ['凯西', 'zh-Hans']]","[[1, 'psychic']]"
64,kadabra,13,565,"[['ユンゲラー', 'ja-Hrkt'], ['Yungerer', 'roomaji'], ['윤겔라', 'ko'], ['勇基拉', 'zh-Hant'], ['Kadabra', 'fr'], ['Kadabra', 'de'], ['Kadabra', 'es'], ['Kadabra', 'it'], ['Kadabra', 'en'], ['ユンゲラー', 'ja'], ['勇基拉', 'zh-Hans']]","[[1, 'psychic']]"
65,alakazam,15,480,"[['フーディン', 'ja-Hrkt'], ['Foodin', 'roomaji'], ['후딘', 'ko'], ['胡地', 'zh-Hant'], ['Alakazam', 'fr'], ['Simsala', 'de'], ['Alakazam', 'es'], ['Alakazam', 'it'], ['Alakazam', 'en'], ['フーディン', 'ja'], ['胡地', 'zh-Hans']]","[[1, 'psychic']]"
66,machop,8,195,"[['ワンリキー', 'ja-Hrkt'], ['Wanriky', 'roomaji'], ['알통몬', 'ko'], ['腕力', 'zh-Hant'], ['Machoc', 'fr'], ['Machollo', 'de'], ['Machop', 'es'], ['Machop', 'it'], ['Machop', 'en'], ['ワンリキー', 'ja'], ['腕力', 'zh-Hans']]","[[1, 'fighting']]"
67,machoke,15,705,"[['ゴーリキー', 'ja-Hrkt'], ['Goriky', 'roomaji'], ['근육몬', 'ko'], ['豪力', 'zh-Hant'], ['Machopeur', 'fr'], ['Maschock', 'de'], ['Machoke', 'es'], ['Machoke', 'it'], ['Machoke', 'en'], ['ゴーリキー', 'ja'], ['豪力', 'zh-Hans']]","[[1, 'fighting']]"
68,machamp,16,1300,"[['カイリキー', 'ja-Hrkt'], ['Kairiky', 'roomaji'], ['괴력몬', 'ko'], ['怪力', 'zh-Hant'], ['Mackogneur', 'fr'], ['Machomei', 'de'], ['Machamp', 'es'], ['Machamp', 'it'], ['Machamp', 'en'], ['カイリキー', 'ja'], ['怪力', 'zh-Hans']]","[[1, 'fighting']]"
69,bellsprout,7,40,"[['マダツボミ', 'ja-Hrkt'], ['Madatsubomi', 'roomaji'], ['모다피', 'ko'], ['喇叭芽', 'zh-Hant'], ['Chétiflor', 'fr'], ['Knofensa', 'de'], ['Bellsprout', 'es'], ['Bellsprout', 'it'], ['Bellsprout', 'en'], ['マダツボミ', 'ja'], ['喇叭芽', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
70,weepinbell,10,64,"[['ウツドン', 'ja-Hrkt'], ['Utsudon', 'roomaji'], ['우츠동', 'ko'], ['口呆花', 'zh-Hant'], ['Boustiflor', 'fr'], ['Ultrigaria', 'de'], ['Weepinbell', 'es'], ['Weepinbell', 'it'], ['Weepinbell', 'en'], ['ウツドン', 'ja'], ['口呆花', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
71,victreebel,17,155,"[['ウツボット', 'ja-Hrkt'], ['Utsubot', 'roomaji'], ['우츠보트', 'ko'], ['大食花', 'zh-Hant'], ['Empiflor', 'fr'], ['Sarzenia', 'de'], ['Victreebel', 'es'], ['Victreebel', 'it'], ['Victreebel', 'en'], ['ウツボット', 'ja'], ['大食花', 'zh-Hans']]","[[1, 'grass'], [2, 'poison']]"
72,tentacool,9,455,"[['メノクラゲ', 'ja-Hrkt'], ['Menokurage', 'roomaji'], ['왕눈해', 'ko'], ['瑪瑙水母', 'zh-Hant'], ['Tentacool', 'fr'], ['Tentacha', 'de'], ['Tentacool', 'es'], ['Tentacool', 'it'], ['Tentacool', 'en'], ['メノクラゲ', 'ja'], ['玛瑙水母', 'zh-Hans']]","[[1, 'water'], [2, 'poison']]"
